MLS #,PicCount,Status,Type,L Price,Address,District,Bds,Bths,Liv-SF,City,State,Zip
404983,23,SLD,SF,"$689,000 ",155 Auhana Rd,Kihei,2,1,690,Kihei,HI,96753
406613,1,SLD,SF,"$750,000 ",490 - C Kaiola Pl,Kihei,2,1,956,Kihei,HI,96753
405700,17,SLD,SF,"$784,500 ",490 Kaiola Pl,Kihei,2,1,748,Kihei,HI,96753
404894,48,SLD,SF,"$828,000 ",480 Kenolio Rd,Kihei,3,2,"1,124",Kihei,HI,96753
403213,24,SLD,SF,"$950,000 ",306 Uala Pl,Kihei,3,2,"1,075",Kihei,HI,96753
404471,19,SLD,SF,"$999,900 ",490 Kaiola Pl,Kihei,3,2,"1,144",Kihei,HI,96753
405272,30,SLD,SF,"$1,088,000 ",32 Ho'oiki Pl,Kihei,3,2.5,"1,496",Kihei,HI,96753
403970,36,SLD,SF,"$1,100,000 ",35 Polale St,Kihei,3,2,"1,478",Kihei,HI,96753
404971,33,SLD,SF,"$1,149,000 ",155 Aliilani Pl,Kihei,3,2,"1,244",Kihei,HI,96753
404705,49,SLD,SF,"$1,150,000 ",484 Nanakai St,Kihei,5,2.5,"1,636",Kihei,HI,96753
405117,28,SLD,SF,"$1,190,000 ",40 Noolu St,Kihei,3,2,"1,478",Kihei,HI,96753
406448,50,SLD,SF,"$1,195,000 ",163 Auhana Rd,Kihei,2,1,594,Kihei,HI,96753
404654,37,SLD,SF,"$1,197,000 ",390 Kaiolohia St,Kihei,5,3,"1,996",Kihei,HI,96753
404922,50,SLD,SF,"$1,199,000 ",2866 Ohina St,Kihei,4,3,"1,593",Kihei,HI,96753
404331,14,SLD,SF,"$1,225,000 ",117 Miha Pl,Kihei,3,2,"1,185",Kihei,HI,96753
405137,50,SLD,SF,"$1,239,000 ",802 Mahealani Pl,Kihei,3,2.5,"1,814",Kihei,HI,96753
402762,41,SLD,SF,"$1,250,000 ",219 Kenolio Rd,Kihei,4,3,"1,276",Kihei,HI,96753
404769,46,SLD,SF,"$1,259,000 ",52 Waiapo St,Kihei,3,2.5,"1,560",Kihei,HI,96753
406063,50,SLD,SF,"$1,299,000 ",222 Oluea Cir,Kihei,3,3.5,"1,560",Kihei,HI,96753
401158,50,SLD,SF,"$1,300,000 ",80 Waiapo St,Kihei,3,2.5,"1,560",Kihei,HI,96753
403520,50,SLD,SF,"$1,300,000 ",81 Waipahe St,Kihei,4,3,"2,086",Kihei,HI,96753
404274,39,SLD,SF,"$1,329,000 ",11 Waihili Pl,Kihei,4,3,"1,780",Kihei,HI,96753
403449,40,SLD,SF,"$1,400,000 ",2020 Paulele Pl,Kihei,5,3,"2,314",Kihei,HI,96753
403149,44,SLD,SF,"$1,449,000 ",237 Kuli Puu St,Kihei,3,2,"1,550",Kihei,HI,96753
405990,45,SLD,SF,"$1,450,000 ",237 Kuli Puu St,Kihei,3,2,"1,550",Kihei,HI,96753
405210,41,SLD,SF,"$1,500,000 ",3010 Kauhale St,Kihei,3,2,"1,380",Kihei,HI,96753
404676,1,SLD,SF,"$1,525,000 ",2627 Lioholo Pl,Kihei,4,3,"2,046",Kihei,HI,96753
405367,47,SLD,SF,"$1,549,500 ",2927 Kauhale St,Kihei,3,3,"1,832",Kihei,HI,96753
402043,40,SLD,SF,"$1,553,000 ",580 Kaiola St,Kihei,3,2,"1,384",Kihei,HI,96753
405236,50,SLD,SF,"$1,575,000 ",2709 Puu Hoolai St,Kihei,3,2.5,"2,180",Kihei,HI,96753
402642,50,SLD,SF,"$1,599,000 ",235 Hoohale Pl,Kihei,4,3,"1,932",Kihei,HI,96753
404504,26,SLD,SF,"$1,850,000 ",127 Ahekolo St,Kihei,3,2,"1,732",Kihei,HI,96753
404446,50,SLD,SF,"$1,895,000 ",2733 Puu Hoolai St,Kihei,5,3.5,"2,788",Kihei,HI,96753
404650,49,SLD,SF,"$1,998,000 ",14 Hui Nene Way,Kihei,4,4,"2,328",Kihei,HI,96753
404112,1,SLD,SF,"$1,999,000 ",71 Hoohale St,Kihei,4,2.5,"2,102",Kihei,HI,96753
405561,49,SLD,SF,"$1,999,000 ",98 Ahekolo St,Kihei,5,4,"2,660",Kihei,HI,96753
404120,50,SLD,SF,"$2,050,000 ",9 Moana Ave,Kihei,3,3,"1,818",Kihei,HI,96753
399444,50,SLD,SF,"$2,075,000 ",2841 UMALU Pl,Kihei,5,4,"2,800",Kihei,HI,96753
405497,46,SLD,SF,"$2,125,000 ",1595 Halama St,Kihei,3,1.5,"1,490",Kihei,HI,96753
404968,50,SLD,SF,"$2,350,000 ",71 Moana Ave,Kihei,5,3,"2,456",Kihei,HI,96753
405730,50,SLD,SF,"$2,430,000 ",62 Ponana St,Kihei,4,2.5,"2,073",Kihei,HI,96753
404144,50,SLD,SF,"$2,695,000 ",109 Hokai Pl,Kihei,3,3,"1,852",Kihei,HI,96753
404794,39,SLD,SF,"$5,999,000 ",1470 Halama St,Kihei,3,3,"2,314",Kihei,HI,96753
405312,50,SLD,SF,"$6,295,000 ",1702 Halama St,Kihei,4,3,"1,615",Kihei,HI,96753
401012,49,SLD,SF,"$6,750,000 ",3068 S Kihei Rd,Kihei,5,5,"3,251",Kihei,HI,96753
405812,1,SLD,SF,"$10,000,000 ",1690 Halama St,Kihei,3,3,"2,709",Kihei,HI,96753
405090,36,SLD,SF,"$28,560,000 ",3200 S Kihei Rd,Kihei,8,8,"21,692",Kihei,HI,96753
